kigo,pronunciation,season
会津身知らず,あいずみしらず,秋
藍の花,あいのはな,秋
愛の羽根,あいのはね,秋
青脚鴫,あおあししぎ,秋
青北風,あおぎた,秋
青薬,あおぐすり,秋
青げら,あおげら,秋
蒿雀,あおじ,秋
青鴫,あおしぎ,秋
青とんぼ,あおとんぼ,秋
会津身知らず,あいずみしらず,秋
藍の花,あいのはな,秋
愛の羽根,あいのはね,秋
青脚鴫,あおあししぎ,秋
青北風,あおぎた,秋
青薬,あおぐすり,秋
青げら,あおげら,秋
蒿雀,あおじ,秋
青鴫,あおしぎ,秋
青とんぼ,あおとんぼ,秋
青蜻蛉,あおとんぼ,秋
青梨,あおなし,秋
青棗,あおなつめ,秋
青花,あおばな,秋
青瓢簞,あおひょうたん,秋
青匏,あおふくべ,秋
青瓢,あおふくべ,秋
青松毬,あおまつかさ,秋
青松笠,あおまつかさ,秋
青松虫,あおまつむし,秋
青蜜柑,あおみかん,秋
青虫,あおむし,秋
とうごま,とうごま,秋
赤脚鴫,あかあししぎ,秋
赤い羽根,あかいはね,秋
秋卒,あかえんば,秋
赤柿,あかがき,秋
網掛,あがけ,秋
網掛の鷹,あがけのたか・あみがけのたか,秋
赤げら,あかげら,秋
藜の実,あかざのみ,秋
赤蜻蛉,あかとんぼ,秋
赤梨,あかなし,秋
茜草,あかね,秋
茜掘る,あかねほる,秋
赤のまま,あかのまま,秋
赤のまんま,あかのまんま,秋
赤鯊,あかはぜ,秋
赤茯苓,あかぶくりょう,秋
赤猿子,あかましこ,秋
赤まんま,あかまんま,秋
赤芽芋,あかめいも,秋
赤鵙,あかもず,秋
赤卒,あかやんま・あかえんば,秋
秋,あき,秋
秋茜,あきあかね,秋
秋揚げ,あきあげ,秋
秋浅し,あきあさし,秋
秋薊,あきあざみ,秋
秋味,あきあじ,秋
秋鰺,あきあじ,秋
秋遊,あきあそび,秋
秋暑し,あきあつし,秋
秋袷,あきあわせ,秋
秋あわれ,あきあわれ,秋
